run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,submitted,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s0_T5000_sonnet_gate_448""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,448,"""b3""",false,0.45553892353507647,"""3c0dca81a87d0a5c""",2,250,266,11,true,"""FAIL""",0.6078039865546575,-0.21397844362294993,1.0250967575905092,0.9774022597740226,0.25,0.3,0.18544273391416774,6,3,"[0.2894736842105263, 0.6390977443609023, 0.9962406015037594]",false,true,false,"[""claude-sonnet-5""]",[],false,36,25429,551698,40006,0,0.5247256,286.76327681541443
"""s0_T5000_fable_gate_449""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,449,"""b3""",false,0.4642514443452074,"""3c0dca81a87d0a5c""",3,49,51,0,true,"""FAIL""",0.9289114972713172,0.10618077992043151,1.020163994815532,0.17148285171482852,0.15,0.32,-0.15987223610360285,0,1,[0.8823529411764706],false,true,false,"[""claude-fable-5-1""]",[],false,10,6025,77510,9299,1306,0.5067075000000001,153.22743391990662
"""s0_T5000_sonnet_pushed_450""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,450,"""b3""",false,0.4641208067149728,"""3c0dca81a87d0a5c""",2,69,71,1,true,"""FAIL""",-0.09760922982373414,-0.9199597701974646,1.0202378802159764,1.0,0.2,0.25,-0.3415391776353735,0,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7069,107630,13353,0,0.145652,138.18573188781738
"""s0_T5000_fable_pushed_451""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,451,"""b3""",false,0.4577565555411674,"""3c0dca81a87d0a5c""",3,45,46,0,true,"""FAIL""",0.7140000792545126,-0.10699193376122584,1.023840148888214,0.8228177182281772,0.1,0.35,-0.5001618436101636,1,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,12,5415,90355,9886,1326,0.49117875,143.1439130306244
"""s0_T5000_sonnet_control_452""","""control""","""claude-sonnet-5""","""s0""",null,1.0,452,"""b3""",false,0.46562180814499676,"""3c0dca81a87d0a5c""",0,79,82,2,true,"""FAIL""",0.8492303728748706,0.02748237011084531,1.0193890808779387,0.390960903909609,0.45,0.3,-0.26818919516473855,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,8251,147184,13401,0,0.1655828,146.56841278076172
"""s0_T5000_fable_control_453""","""control""","""claude-fable-5-1""","""s0""",null,1.0,453,"""b3""",false,0.46947134101396154,"""3c0dca81a87d0a5c""",1,48,49,0,true,"""FAIL""",0.8889311899299946,0.06688354101827088,1.0172134483266735,0.2686731326867313,0.35,0.3,-0.5666430319002992,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,10,5424,73763,8772,1019,0.46518075000000003,135.32138109207153
"""s0_T5000_sonnet_gate_454""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,454,"""b3""",false,0.4579266153574788,"""3c0dca81a87d0a5c""",0,119,127,3,true,"""FAIL""",0.9272598146479316,0.10499904828551643,1.0237438167161852,0.17538246175382463,0.35,0.35,-0.0868013250908329,0,3,"[0.5275590551181102, 0.8110236220472441, 0.9921259842519685]",false,true,false,"[""claude-sonnet-5""]",[],false,30,12650,329141,20181,0,0.2731122,142.8306040763855
"""s0_T5000_fable_gate_455""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,455,"""b3""",false,0.4555606843775775,"""3c0dca81a87d0a5c""",1,49,51,0,true,"""FAIL""",0.827031627463315,0.00359859692271014,1.0250844231826008,0.46785321467853214,0.05,0.35,-0.1735280261015759,0,1,[0.9215686274509803],false,true,false,"[""claude-fable-5-1""]",[],false,12,5355,93041,8891,875,0.46895024999999996,141.70409321784973
"""s0_T5000_sonnet_pushed_456""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,456,"""b3""",false,0.44953063182200514,"""3c0dca81a87d0a5c""",0,96,98,1,true,"""PASS""",1.048462989375692,0.22474726477349483,1.028505383785034,0.037396260373962605,0.45,0.35,0.0789098481940083,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,18,9652,188386,17981,0,0.20615719999999998,133.80683422088623
"""s0_T5000_fable_pushed_457""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,457,"""b3""",false,0.4544194379203554,"""3c0dca81a87d0a5c""",1,46,47,0,true,"""FAIL""",0.7625123598971727,-0.0604366082598885,1.0257314035396494,0.6859314068593141,0.05,0.3,0.4877585151349558,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,10,5730,74843,10192,1521,0.50915075,654.1098051071167
"""s0_T5000_sonnet_control_458""","""control""","""claude-sonnet-5""","""s0""",null,1.0,458,"""b3""",false,0.45437747773201104,"""3c0dca81a87d0a5c""",2,92,96,3,true,"""FAIL""",0.6922872662197878,-0.13055804578827424,1.0257551950876957,0.8731126887311269,0.45,0.25,0.5479216670186653,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,9484,153904,15320,0,0.18693279999999998,134.32279300689697
"""s0_T5000_fable_control_459""","""control""","""claude-fable-5-1""","""s0""",null,1.0,459,"""b3""",false,0.4617985845996989,"""3c0dca81a87d0a5c""",3,46,47,0,true,"""FAIL""",0.9494355770741314,0.1277266680951975,1.0215516440761074,0.1382861713828617,0.25,0.4,-0.07988095536782713,1,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,8,6485,60019,9736,2261,0.53405475,143.5302391052246
"""s0_T5000_sonnet_gate_460""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,460,"""b3""",false,0.4686778870281708,"""3c0dca81a87d0a5c""",2,180,188,5,true,"""FAIL""",0.7455297708639289,-0.07724229783370284,1.0176617443891034,0.7446255374462554,0.35,0.3,0.31087864831438566,4,2,"[0.40425531914893614, 0.898936170212766]",false,true,false,"[""claude-sonnet-5""]",[],false,28,18573,372408,29046,0,0.37645160000000005,213.03827095031738
"""s0_T5000_fable_gate_461""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,461,"""b3""",false,0.46447035500042755,"""3c0dca81a87d0a5c""",3,43,45,0,true,"""FAIL""",0.8821298195561704,0.05952971961011477,1.0200401892660207,0.2900709929007099,0.03,0.3,-0.811709439451939,0,1,[0.9111111111111111],false,true,false,"[""claude-fable-5-1""]",[],false,12,4720,89759,7893,721,0.41641975,136.86515593528748
"""s0_T5000_sonnet_pushed_462""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,462,"""b3""",false,0.45067345147732873,"""3c0dca81a87d0a5c""",2,101,105,3,true,"""FAIL""",0.850251367976913,0.026789710640478193,1.0278565576306649,0.38966103389661033,0.35,0.35,0.45935162322425227,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,10223,167277,19090,0,0.2120774,167.7080900669098
"""s0_T5000_fable_pushed_463""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,463,"""b3""",false,0.4565978365527188,"""3c0dca81a87d0a5c""",3,46,47,0,true,"""FAIL""",0.7183397500758216,-0.10580390788985417,1.02449663500475,0.8132186781321867,0.05,0.35,0.7059965673394476,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,12,4823,80860,9698,533,0.45544500000000004,122.62294912338257
"""s0_T5000_sonnet_control_464""","""control""","""claude-sonnet-5""","""s0""",null,1.0,464,"""b3""",false,0.4663459771094865,"""3c0dca81a87d0a5c""",0,67,70,2,true,"""FAIL""",0.660650325905488,-0.162005347617191,1.0189796711624985,0.93000699930007,0.35,0.25,-0.20513238788311522,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6937,101193,11462,0,0.13548059999999998,135.77655792236328
"""s0_T5000_fable_control_465""","""control""","""claude-fable-5-1""","""s0""",null,1.0,465,"""b3""",false,0.4650284277416846,"""3c0dca81a87d0a5c""",1,45,46,0,true,"""FAIL""",0.5870843163018568,-0.2360632945362433,1.0197245970533564,0.9902009799020098,0.1,0.35,-0.043175415377567125,1,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,10,6049,74284,9212,1868,0.5053610000000001,147.68555688858032
"""s0_T5000_sonnet_gate_466""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,466,"""b3""",false,0.45941344158353875,"""3c0dca81a87d0a5c""",0,104,107,0,true,"""FAIL""",0.8880421564676847,0.06507051105558392,1.0229017721946252,0.27607239276072393,0.45,0.35,0.3783526498890603,1,1,[0.5794392523364486],false,true,false,"[""claude-sonnet-5""]",[],false,24,10464,231870,16994,0,0.21903799999999998,134.14690709114075
"""s0_T5000_fable_gate_467""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,467,"""b3""",false,0.4672270585690705,"""3c0dca81a87d0a5c""",1,44,46,0,true,"""FAIL""",0.7787982736009336,-0.04456515827219343,1.0184816355991746,0.6394360563943605,0.05,0.35,-0.27249834103229814,0,1,[0.8913043478260869],false,true,false,"[""claude-fable-5-1""]",[],false,10,4970,76024,8148,876,0.43056600000000006,108.09373903274536
"""s0_T5000_sonnet_pushed_468""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,468,"""b3""",false,0.45792545813620333,"""3c0dca81a87d0a5c""",0,111,113,1,true,"""FAIL""",0.8119279879091558,-0.011090672277317304,1.023744472221587,0.5144485551444855,0.3,0.35,-0.15706526108481964,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,18,11256,196715,20872,0,0.235427,727.5216901302338
"""s0_T5000_fable_pushed_469""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,469,"""b3""",false,0.4538035987821013,"""3c0dca81a87d0a5c""",1,47,48,0,true,"""FAIL""",0.7598939932527342,-0.06289204806272164,1.0260806152006663,0.6978302169783022,0.05,0.3,0.4590464016406973,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,12,5685,91422,10029,1168,0.5078055,127.00064826011658
"""s0_T5000_sonnet_control_470""","""control""","""claude-sonnet-5""","""s0""",null,1.0,470,"""b3""",false,0.46111062048407586,"""3c0dca81a87d0a5c""",2,78,79,0,true,"""FAIL""",0.8041495883232886,-0.01712653689119914,1.0219409893586473,0.5371462853714628,0.5,0.3,0.25718609385941316,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,8025,103749,12845,0,0.1524038,144.562735080719
